Review_name,Review_content,Date_of_review,Type_of_wine
2018 Antiche Terre Venete Amarone della Valpolicella DOCG,We thought it might be time to revisit this popular Costco Amarone. The last time we reviewed it was back with the 2016 vintage that we enjoyed and gave 89 points. We have a similar story with the 2018 vintage that is in Costco stores right now. The price did go up $1 to $23.9. which is a move in the wrong direction from our research. While some online outlets priced this wine as high as $2. we found a couple selling it for $21. Regardles. it’s hard to find Amarone priced this lo. and the bottle once again delivers. Italian red fan. and Amarone lovers will find a lot to like at still a very fair price. In the glass the wine is a medium garnet; the nose is subtl. a bit of dried red fruit and cigar box. The wine is medium plus in body with flavors of cherry and raspberr. a hint of liqueur; in the finish there’s some pepper that really sticks around in the mouth. We thought this was an excellent wine with nice structure and depth. It’s very similar to years pas. so we’ll be keeping our rating at a solid 89 points once again. CostcoWineBlog.com Rating: 89 point. Costco item number: 107102. Purchased at Costco in: Atlant. GA (Kennesaw. Alc. 15. We also co-authored a boo. “Decoding Italian Win.” which is a fu. entertaining and easily digestible guide to enjoying Italian wine and understanding the regions and practices.,"November 26, 2022",Italian
2016 Canonica a Cerreto Chianti Classico,This Chianti Classico had a few things going for it that made a strong case for throwing a bottle in our cart. Firs. we love Chianti Classico. and particularly those with 5-7 years of age on the. so this 2016 fit the bill quite nicely.  It’s drinking really good right now. Nex. we remembered tasting a super Tuscan blend from Canonica a Cerretoa while back.  A quick search of the site shows it was indeed a while back (2015 when we were still learning to design a website. and we loved i. going 91 points. . And then you can see all the big scores from the critics on the Costco placard along with the $19.99 price ta. which we know now having tasted the win. is quite a deal for this level of quality. The wine pours a medium ruby in the glass; expressive nose of dark fruit and herbs; medium plus in bod. super elegant with big dark cherry flavor; spicy in the finish which is super dry. We were fortunate to pair this with some meatballs and it was perfect. I’d put this one right on the heels o. or maybe even a notch abov. the new Kirkland Brunello we just reviewed.  It’s that goo. same price. . If you are into Italian reds and see them bot. scoop them up and see which one you prefer.  Let us know too if you do that. Salute. CostcoWineBlog.com Rating: 91 points (a Costco Wine Top Pick. Costco item number: 97535. Purchased at Costco in: Atlant. GA (Cumberland. Alc. 14. Be the first in the know on the latest Costco wine finds. No spam or sharin. ever. Thank you for signing up! Read more reviews.,"November 19, 2022",Italian
2022 Costco Wine Thanksgiving Picks,Thanksgiving is one of our favorite holidays and it’s the perfect time to enjoy great food and great wine with friends and family.  Our favorite thing to do. And Costco is one of the best places to stock up on what you need for the big meal.  Here we like to talk about Costco win. so let’s take a look at some ideas we want to share on what wines you might want to consider. Our feelin. and we think this is starting to become the general consensu. is that several different types and styles of wine can work with a traditiona. or even non traditiona. Thanksgiving meal. Our approach is to get out multiple glasses per perso. and try a wide range of wines to see what each person likes best.  This can include re. whit. rose or bubbly.  Our tastes tend to lean towards lighter reds (like Pinot Noir. interesting whites and good Champagne which can go with about anything (food / people / environment). So let’s jump into some of our picks. We are trying to assemble this from wines we’ve seen in stores recently as well as ones that seem to have some staying powe. so hopefully you are able to find some of them near you. . And of cours. please share your favorites in the comments below.  Cheers. Sparkling Wines: perfect for befor. during or after the mea. Chandon Brut Ros. This is a fun one that’s widely available and a good buy at $16.  You can also go for their straight brut which is delicious as well our revie. Veuve Clicquot Brut Champagne Yellow Labe. Veuve is always a classy pick and it still remains a delicious Champagne.  $48.99 at Costco which isn’t really discounted from what you’ll find it elsewher. but we always find ourselves buying and enjoying a few of these a year our revie. Kirkland Signature Champagn. If you don’t want to pay the Veuve pric. and don’t mind showing your guests the Kirkland labe. for $20 the Kirkland Champagne is always a favorite and a super tasty bubbly for your table read our revie. White Win. 2021 Duckhorn Decoy Sauvignon Blan. This is a solid Sauvignon Blanc for the mone. and we’ve seen it in large quantities in stores near us.  We went 87 point. and it’s a wine we’d buy again.  Plus many of your guests may recognize the Duckhorn name our revie. 2021 Westmount Pinot Gri. Here’s another white we enjoyed recently and have confirmed is still in Costco stores around the Atlanta area.  91 points from Wine Enthusiast and only $12.79. Plus we love Oregon wines. Go Ducks our revie. 2021 Stag’s Leap Wine Cellars AVETA Sauvignon Blan. Ye. here’s one we just posted so it should still be in stores; it’s a delicious Sauvignon Blanc from a great producer at a nicely discounted Costco price our revie. Red Win. 2020 Boen Pinot Noi. This was a new Costco Pinot for u. and we thoroughly enjoyed it. The wine is a blend of grapes from three different California counties and it comes together perfectly.  Costco’s price is $18.99 our revie. 2018 Devois des Agneaux d’Aumelas Languedo. This was a big find for us that we think is still in stores; a tasty Languedoc red blend of 70% Syrah and 30% Grenache that is a steal for only $12.99 our revie. 2018 Mosquita Muerta Pispi Blend de Tinta. This was a highly rated red blend from Argentina that caught our attention.  The blend is Malbec (40%. Cabernet Franc (10%. Merlot (10%. Petit Verdot (20%) and Bonarda (20%).  Costco’s price is $14.99 and we think this is a solid red that can appeal to almost any red wine drinker our review. 2019 Four Graces Pinot Noir Willamette Valle. We’d be remiss not to sneak in one more of our favorite Pinots on this list.  This is some serious delicious juice for $20 that likely will make its way onto our table this Thanksgiving.  We just saw it in stores this week our revie. Rose Win. 2021 Kirkland Signature Cotes De Provence Ros. We had to include this one since we’ve actually seen it still in store. which is hard to believe.  Historicall. this wine has sold out in a handful of week. a month or so tops.  And the price has stayed under $10.  This is very good rose at a fantastic price our revie. There’s our list.  We had to keep it to wines that were reviewed pretty recentl. or ones that we know to be Costco staples so you will hopefully be able to find some of them.  We also tried to add a few picks that we haven’t used in prior lists. And remember to let us know any of your favorites in the comments below. Happy huntin. and happy Thanksgiving.. A. Be the first in the know on the latest Costco wine finds. No spam or sharin. ever. Thank you for signing up! Read more reviews.,"November 12, 2022",Features
2021 Stag’s Leap Wine Cellars AVETA Sauvignon Blanc,We love seeing new bottles from Stag’s Leap Wine Cellars hit the shelves at Costco and this AVETA Sauvignon Blanc is one that we’ve never seen befor. at least around the Atlanta area Costco stores we frequent. Previousl. as far as white wines go from Stag’s Leap Wine Cellar. we’ve reviewed and enjoyed their Karia Chardonnay and standard Sauvignon Blanc.  The wines have continually offered a good bang for the buck. So we were super curious to get into this one.  Costco’s $22.99 price tag is pretty goo. considering retail is around $30 and it looks to be selling a little higher than that even at some online outlets. There are a few 90+ point ratings called out on the Costco placard and we found a few more in our online searches on this wine.. We also noticed on the Stag’s Leap Wine Cellars website that this wine is actually a blend consisting of 76% Sauvignon Blan. 19% Sauvignon Musque (a clonal variant of Sauvignon Blanc. 4% Muscat Canelli and 1% Semillon. In the glas. the wine pours a medium yellow with citrus fruit on the nose; bright and crisp acidity; flavors of citru. grapefruit and green apple. Finish really lingers. This is a delicious wine. . Just what we hoped for from a favorite producer; we’re going to be adding this bottle to our recommended wine list. CostcoWineBlog.com Rating: 90 points (a Costco Wine Top Pick. Costco item number: 34350. Purchased at Costco in: Atlant. GA (Cumberland. Alc. 14. Be the first in the know on the latest Costco wine finds. No spam or sharin. ever. Thank you for signing up! Read more reviews.. ,"November 9, 2022",Recommended
2017 Kirkland Signature Series Brunello di Montalcino,Here’s one of our favorite Kirkland wines coming in right on time with the latest vintage.  Fall is usually when this Brunello hits store. and right off the bat we have some good news with the price staying at $19.99. Long time readers may remember this wine had crept up to $27 in prior year. and then started coming back down.  We really like it right here at $2. which is an amazing price for any Brunell. even more so for a tasty on. as this bottle usually is. Looking back over our note. we’ve tasted every vintage of this Kirkland offerin. dating back to the awesome 2010 vintage.  Here’s a look at the scores over the years. 2010– 92-93 point. 2011– 86 point. 2012– 87 point. 2013– 88 point. 2014– 88 point. 2015– 89 point. 2016 – 91 point. Trending the right direction as we feel this bottle has finally stabilized close to 90 points after that dip almost a decade ago.  And that’s where this new 2017 vintage will land for us. The wine is a medium garnet in color with a lovely nose of red fruit and spice; it is medium plus in body with good acidity right off the bat; nice flavor profile with cherry and raspberry; clean finish.  Really tasty juice once again. We’re going to say this is just a small notch below the 201. and believe it or not we ran into some 2016 bottles just a few weeks ago and opened on. so it is super fresh in memory. This is still a favorite and a great buy.  We’re going to bring the rating down to 90 for the 2017 and recommend Brunello and Italian wine fans give it a shot. CostcoWineBlog.com Rating: 90 points (a Costco Wine Top Pick. Costco item number: 147219. Purchased at Costco in: Atlant. GA (Cumberland. Alc. 14.5. Be the first in the know on the latest Costco wine finds. No spam or sharin. ever. Thank you for signing up! Read more reviews.,"November 2, 2022",Italian
Our Highest Rated Costco Wines of 2022,It’s that time of the year again when we look back at some of our favorite Costco wine finds throughout the year.. We have quite a few new additions that we enjoyed this year.  If you want to check out our previous roundup. here is this same list from 202. 2020 and 2019. It’s always worth saying upfront that many of these wines are likely long gone from Costco at this poin. especially the ones from earlier in the year. . But you never know what might make a surprise appearanc. and perhaps you’ll come across some of these on a restaurant wine list or at another stor. and decide to give them a shot. We also are just one viewpoint.  Please feel free to add your favorites in the comments.  We keep a list of reader favorite wine. and always try to find them to tast. review and share with the larger community. Many of the wines on this list were recommendations from reader. so Thank You. Let’s get into the list.  Thanks as always for following our site.  Cheers. A. 2011 Bodegas Olarra Otonal Gran Reserva Rioj. We started the year with this delicious Gran Reserva Rioja with a decade of age built in for only $15.  Quite the find our revie. 2018 Acclaimed Red Wine Nap. We scooped this one up at a store in Jacksonvill. F. attracted largely by the $9 limited time discount that brought the price from $22.99 to $13.99.  It turned out to be a subtl. elegant Cabernet that we awarded 91 points our revie. 2019 Chento Malbe. This turned out to be our favorite Malbec find at Costco during 202. and we tasted a fair amount of them.  $14.69 price ta. and a ton of 90+ point reviews from the critics (91 from us. this is one to remember our revie. 2017 Kirkland Signature Barol. No surprise here from long time reader. this remains a Kirkland favorite and the 2017 vintage was no exception.  This bottle has hit this list three years in a row now.  The price stayed the same at $19.99 and we bumped our rating up to 93 points with this vintage our revie. 2019 Kirkland Signature Oakville Cabernet Sauvigno. Here’s another Kirkland winner that also hits this list most vintages.  Agai. price stayed consistent at $19.9. as did our 91 point rating. This is just a solid Napa Cabernet and hard to believe Costco can bring it in at only $20 our revie. 2016 Chateau Bel Air Gloria Haut-Medoc Cru Bourgeoi. We were pleasantly surprised here.  Retail price on this wine looks around $35 and Costco is selling it for $16.  The wine inside is more of what you would expect for $3. making it a huge find this year for us.  Hope to see this one back in future vintages our revie. 2019 Kirkland Signature Suscol Vineyard Napa Valley Cabernet Sauvigno. We were thrilled to see this new Kirkland offering back in stores.  The 2018 vintage was its inaugural vintag. and this new 2019 delivered the goods once again.  Costco has a serious winner with this win. and I know many of you wrote in to agree our revie. 2019 My Favorite Neighbor Cabernet Sauvigno. We are still amazed to have run into this bottle at Costco. Just straight fire in a high end Cabernet that’s not inexpensive ($45.99. but worth every penny.  We put a couple in the cellar; wouldn’t mind having a few more our revie. 2019 Four Graces Pinot Noir Willamette Valle. Retail price is $3. and only $20 at Costc. this is a perennial favorite Pinot from Willamette Valley that might still be lingering out there. Keep an eye out. Delicious juice our revie. 2016 Bodegas Sierra Salinas Mira Salinas Alicant. We loved this Spanish red that comes with a little age built in; $14.99 at Costco which is what you will find it for elsewher. so the only gripe is we’d like to see if come in a few bucks cheaper; but so much to like here; we went 91 points our revie. 2018 Chateau FaugeresCalice de FaugeresSaint-Emilion Grand Cr. Here’s a Saint Emilion Bordeaux that snuck in at the last minut. and what a wine this turned out to be; $2. super elegan. 91 points from us and even higher from most critics our revie. And there you have it.  A pretty solid year overall for the Costco wines that we tasted. But there’s a lot more of you then there is us writing these up.  So don’t hesitate to share some of your favorites in the comments below. And if you enjoy our conten. don’t forget to check out our wine books (they make fantastic holiday gifts too). We cover three of the major regions of European wines in a straightforwar. fun and conversational way; Decoding French Win. Decoding Italian Wine and Decoding Spanish Wine. Be the first in the know on the latest Costco wine finds. No spam or sharin. ever. Thank you for signing up! Read more reviews.,"October 29, 2022",Features
2018 Devois des Agneaux d’Aumelas Languedoc,We weren’t sure what to expect here but had a sneaking suspicion that this might be an under the radar winner.  And we were spot on. Languedoc is a region in Southern Franc. in between the Mediterranean and Rhone Valle. and you can see the Rhone influence in the varietal blend here which is 70% Syrah and 30% Grenache. It’s a region also known for good value. as this one is the perfect case in point. Only $12.99 at Costco.  So we knew right away if it tasted as we hope. we were going back in for more. The placard notes a nice big 91 point score from Wine Advocate too.. On the pour this is a medium purple with dark frui. earth and herbs on the nose; flavors of blackberr. blueberry and plum with some dark chocolate in the finish. Elegant and subtle. We really like this one and the style is right up our alley.  Definitely plan to buy a few more if they’re still around. But word might get out fast among French wine fans that this is a bargain not to be missed. CostcoWineBlog.com Rating: 90 points (a Costco Wine Top Pick. Costco item number: 169490. Purchased at Costco in: Atlant. GA (Kennesaw. Alc. 13.5. Als. if you are interested in French wine and want a super easy to read primer on the key varietal. region. and style. check out our book Decoding French Wine. Be the first in the know on the latest Costco wine finds. No spam or sharin. ever. Thank you for signing up! Read more reviews. ,"October 26, 2022",French
2018 Chateau Faugeres Calice de Faugeres Saint-Emilion Grand Cru,We thought this one might overdeliver and it does.  This is a great Costco wine find.  We’re big Bordeaux fan. and for $2. this is a score. Online the price seems to be closer to the $28 rang. so it appears Costco’s bringing it in at a competitive buy.  Suckling has gone in the low 90’s on some of the prior vintages.  And as far as Bordeaux vintages g. 2018 is one of our favorites. Since this wine hails from the right bank of Bordeaux (Saint Emilion) it will be Merlot dominated as indicated on the back label.  Likely smaller parts Cabernet Franc and Cabernet Sauvignon. The more we taste this on. the more boxes it checks.  The wine starts with lovely aromas of dark frui. herbs and spice; it is medium plus in body with good acidity; flavors of cherr. plu. and vanilla notes; dusty and dry in the finish. The first word that comes to mind in summarizing this one is elegant.  It’s just a delicat. well mad. well balanced Bordeaux that we can really get behind.  91 points from us with a big thumbs up. CostcoWineBlog.com Rating: 91 points (a Costco Wine top pick. Costco item number: 142269. Purchased at Costco in: Atlant. GA (Kennesaw. Alc. 14.5. Be the first in the know on the latest Costco wine finds. No spam or sharin. ever. Thank you for signing up! Read more reviews.,"October 12, 2022",French
2016 Bodegas Sierra Salinas Mira Salinas Alicante,There are quite a few interesting things about this bottle we found at Costc. which we’ve never seen before. First is the mistake on the Costco placar. labeling this wine as a Rioj. which would lead you to believe it was comprised of Tempranillo.  But the wine is actually from Alicante and is comprised of 100% Monastrell. Either wa. we’re coo. because Spain remains a favorite and the wine turned out to be absolutely stellar. Nex. let’s look at the price.  Costco is selling the wine for $14.99 which matches what Wine.com is selling it for (and retail looks to be $18).  It’s rare that Costco doesn’t beat Wine.co. so perhaps it’s a little high for us Costco shoppers who are used to saving a few extra bucks. The critic scores for this wine are consistently stron. all 90. every vintag. multiple outlets.  That’s usually a good sig. and in this case we did feel they were spot on. The wine is just drinking beautifully right now.  It’s had some time to rest and that’s apparent right away. The tannins are soft and it just feels great in the mouth. The wine is dark ruby on the pour with red and dark frui. eart. and a touch of spice on the nose; flavors of black cherr. blackberr. plum and notes of anise and dark chocolate; elegant in its deliver. subtle but lasting and strong in the finish. . If we bought this for $30-$40 we wouldn’t be disappointed.  It’s that goo. and the wine is in a perfect place right now.  Don’t cellar for too lon. open and enjoy.  We’ll put on our Top Picks list with a big thumbs up. CostcoWineBlog.com Rating: 91 points (a Costco Wine Top Pick. Costco item number: 169006. Purchased at Costco in: Atlant. GA (Kennesaw. 14.5. Be the first in the know on the latest Costco wine finds. No spam or sharin. ever. Thank you for signing up! Read more reviews.,"September 24, 2022",Recommended
2020 Kirkland Signature Napa Valley Red Blend,Here’s a popular Kirkland wine hitting stores right on schedul. usually in the Sept-Oct timeframe.  We’ve heard from several readers who found this wine weeks before we di. so hopefully it’s beginning to make its way into more stores. Two things right off the bat.  Ye. the price stayed the same at $10.99.  That’s a huge factor for this bottl. because we feel the quality has been steadily improvin. while the price is staying consistent.  We like that equation. Next is a brand new label desig. and we’re fans. The previous black label was a good change from the really basic old white ones.  But it kind of ran its course.  This is a classy new look. Let’s recap our scores over the years on this red blend and as you can see this past 2019 vintage was a clear favorite. 2019 – 89 point. 2018– 86 point. 2016– 86 point. 2015– 86 point. 2014– 86 points (the wine was labeled as a Meritage with this vintag. instead of red blend. After hovering in the mid 80’s we finally got a big win with the 2019 vintage.  The change there was that the blend went from being more Merlot dominated to Cabernet Sauvignon dominated. . Now we like both (right and left bank) style. but for this bottlin. the Cab works much better.  And thankfully that’s what we have with the 2020 vintage. The varietal makeup is 76% Cabernet Sauvigno. 11% Merlo. 5% Petit Verdo. 5% Cabernet Franc and 3% Petite Sirah. Glen Hugo has also been named as the winemaker for several vintages in a ro. and this 2020 one is the first time we don’t see his name on the back of the label.  Not sure if there was a change mad. but it’s worth noting. On the pour this wine is a dee. dark purple with aromas of dark frui. cigar box and herbs; full bodie. and nicely balanced in the mouth; flavors of mostly dark frui. black cherr. blackberr. some dark chocolate; finish is chalky dry with good acidity. This is a very nice wine at an amazing price.  We’re going to bump our score up a poin. and claim this to be the best version of this red blend that we’ve tasted.  An incredible bargain for only $1. and wine we will add to our Top Picks list. Nice job Costco. CostcoWineBlog.com Rating: 90 points (a Costco Wine Blog Top Pick. Costco item number: 33311. Purchased at Costco in: Atlant. GA (Dalla. GA. Alc. 14.5. Be the first in the know on the latest Costco wine finds. No spam or sharin. ever. Thank you for signing up! Read more reviews.,"September 21, 2022",Kirkland Wines
